date,symbol,action
2026-07-06,LICI,snapshot_member
2026-07-06,LINDEINDIA,snapshot_member
2026-07-06,LLOYDSME,snapshot_member
2026-07-06,LTF,snapshot_member
2026-07-06,LTFOODS,snapshot_member
2026-07-06,LTTS,snapshot_member
2026-07-06,LUPIN,snapshot_member
2026-07-06,M&MFIN,snapshot_member
2026-07-06,MAHABANK,snapshot_member
2026-07-06,MANAPPURAM,snapshot_member
2026-07-06,MANKIND,snapshot_member
2026-07-06,MAPMYINDIA,snapshot_member
2026-07-06,MARICO,snapshot_member
2026-07-06,MCX,snapshot_member
2026-07-06,MEDANTA,snapshot_member
2026-07-06,MEESHO,snapshot_member
2026-07-06,MFSL,snapshot_member
2026-07-06,MGL,snapshot_member
2026-07-06,MINDACORP,snapshot_member
2026-07-06,MMTC,snapshot_member
2026-07-06,MOTILALOFS,snapshot_member
2026-07-06,MPHASIS,snapshot_member
2026-07-06,MRF,snapshot_member
2026-07-06,MRPL,snapshot_member
2026-07-06,MSUMI,snapshot_member
2026-07-06,NAM-INDIA,snapshot_member
2026-07-06,NATCOPHARM,snapshot_member
2026-07-06,NATIONALUM,snapshot_member
2026-07-06,NAUKRI,snapshot_member
2026-07-06,NAVA,snapshot_member
2026-07-06,NAVINFLUOR,snapshot_member
2026-07-06,NBCC,snapshot_member
2026-07-06,NCC,snapshot_member
2026-07-06,NETWEB,snapshot_member
2026-07-06,NEULANDLAB,snapshot_member
2026-07-06,NEWGEN,snapshot_member
2026-07-06,NH,snapshot_member
2026-07-06,NHPC,snapshot_member
2026-07-06,NIACL,snapshot_member
2026-07-06,NIVABUPA,snapshot_member
2026-07-06,NLCINDIA,snapshot_member
2026-07-06,NMDC,snapshot_member
2026-07-06,NSLNISP,snapshot_member
2026-07-06,NTPCGREEN,snapshot_member
2026-07-06,NUVAMA,snapshot_member
2026-07-06,NUVOCO,snapshot_member
2026-07-06,NYKAA,snapshot_member
2026-07-06,OBEROIRLTY,snapshot_member
2026-07-06,OFSS,snapshot_member
2026-07-06,OIL,snapshot_member
2026-07-06,OLAELEC,snapshot_member
2026-07-06,OLECTRA,snapshot_member
2026-07-06,ONESOURCE,snapshot_member
2026-07-06,PAGEIND,snapshot_member
2026-07-06,PARADEEP,snapshot_member
2026-07-06,PATANJALI,snapshot_member
2026-07-06,PAYTM,snapshot_member
